"Amount.Requested","Amount.Funded.By.Investors","Interest.Rate","Loan.Length","Loan.Purpose","Debt.To.Income.Ratio","State","Home.Ownership","Monthly.Income","FICO.Range","Open.CREDIT.Lines","Revolving.CREDIT.Balance","Inquiries.in.the.Last.6.Months","Employment.Length"
9500,9500,0.1212,"36 months","debt_consolidation",0.2406,"missouri","MORTGAGE",2519.17,"705-709",7,8673,1,"10+ years"
12000,12000,0.1311,"36 months","debt_consolidation",0.1751,"south carolina","MORTGAGE",9666.67,"680-684",12,17226,0,"5 years"
7200,7200,0.1037,"36 months","debt_consolidation",0.0892,"florida","MORTGAGE",4416.67,"675-679",10,4137,0,"2 years"
5000,5000,0.158,"36 months","debt_consolidation",0.2553,"north carolina","RENT",6612,"665-669",6,14283,0,"10+ years"
8250,8086.75,0.1596,"60 months","home_improvement",0.156,"new york","MORTGAGE",2917,"695-699",13,4479,1,"2 years"
30000,30000,0.2247,"60 months","debt_consolidation",0.2007,"new york","MORTGAGE",7916.67,"690-694",9,4202,3,"n/a"
10075,10075,0.1581,"60 months","debt_consolidation",0.238,"delaware","MORTGAGE",6583.33,"700-704",15,13259,1,"1 year"
9050,9050,0.1311,"36 months","credit_card",0.2058,"michigan","MORTGAGE",5166.67,"700-704",9,7571,1,"7 years"
17500,17500,0.1016,"36 months","credit_card",0.2364,"california","MORTGAGE",3333.33,"700-704",10,21483,0,"8 years"
10000,5334.01,0.0691,"36 months","car",0.0883,"texas","RENT",4166.67,"730-734",5,6381,0,"1 year"
10000,10000,0.089,"36 months","other",0.201,"missouri","RENT",2870.42,"715-719",11,18802,0,"3 years"
8500,8500,0.158,"36 months","debt_consolidation",0.174,"michigan","RENT",2500,"690-694",6,6491,1,"1 year"
16000,15975,0.1465,"36 months","debt_consolidation",0.2015,"north carolina","RENT",3666.67,"675-679",15,6875,0,"4 years"
2350,2350,0.1409,"36 months","credit_card",0.1118,"washington","MORTGAGE",1833.33,"725-729",3,7463,1,"n/a"
10000,9924.07,0.0729,"36 months","medical",0.047,"new york","RENT",6083.33,"730-734",10,7337,1,"3 years"
25000,24975,0.158,"60 months","debt_consolidation",0.2118,"massachusetts","MORTGAGE",5458.33,"735-739",26,27327,1,"6 years"
8000,8000,0.1433,"36 months","credit_card",0.2734,"california","RENT",3500,"685-689",19,16395,2,"7 years"
6000,6000,0.1311,"36 months","credit_card",0.1675,"ohio","MORTGAGE",4166.67,"670-674",9,4500,0,"< 1 year"
4000,4000,0.1311,"36 months","credit_card",0.118,"new york","RENT",5416.67,"685-689",12,6616,1,"1 year"
11500,11500,0.1114,"36 months","credit_card",0.18,"washington","RENT",2916.67,"715-719",14,13851,1,"5 years"
12000,12000,0.0991,"36 months","wedding",0.041,"washington","RENT",12500,"705-709",9,22889,0,"9 years"
15250,13914.17,0.1649,"60 months","debt_consolidation",0.2057,"florida","RENT",2916.67,"690-694",10,17931,0,"< 1 year"
5000,5000,0.1268,"36 months","debt_consolidation",0.092,"florida","RENT",3500,"695-699",6,3555,0,"1 year"
6000,6000,0.079,"36 months","wedding",0.2075,"illinois","RENT",3750,"715-719",12,4318,0,"10+ years"
18225,18225,0.1629,"60 months","credit_card",0.2261,"pennsylvania","RENT",3166.67,"710-714",7,12233,2,"4 years"
15000,15000,0.1038,"36 months","debt_consolidation",0.1687,"illinois","MORTGAGE",6312,"735-739",17,14339,2,"2 years"
4000,3882.78,0.0579,"36 months","moving",0.2394,"ohio","RENT",4666.67,"760-764",7,2889,2,"9 years"
27000,27000,0.1212,"60 months","debt_consolidation",0.1782,"texas","MORTGAGE",7083.33,"715-719",13,25137,0,"8 years"
15000,14925,0.1385,"36 months","other",0.051,"new york","RENT",3000,"705-709",4,5936,1,"3 years"
4950,4950,0.1016,"36 months","other",0.1675,"california","RENT",1403.33,"725-729",4,2738,1,"2 years"
21000,20925,0.1,"36 months","credit_card",0.1408,"california","RENT",6250,"730-734",8,21102,0,"2 years"
9000,9000,0.1531,"36 months","credit_card",0.1588,"new york","RENT",5000,"675-679",7,4532,1,"10+ years"
21000,21000,0.1875,"60 months","debt_consolidation",0.3171,"new mexico","MORTGAGE",9583.33,"695-699",19,30589,1,"10+ years"
8000,8000,0.1905,"36 months","debt_consolidation",0.0283,"new york","RENT",3333.33,"660-664",4,2832,0,"n/a"
23000,21457.14,0.0691,"60 months","debt_consolidation",0.1239,"new hampshire","MORTGAGE",4583.33,"760-764",6,17695,2,"4 years"
10000,10000,0.1465,"36 months","debt_consolidation",0.1668,"ohio","MORTGAGE",8333.33,"680-684",18,39461,2,"4 years"
5000,4947.35,0.0999,"60 months","credit_card",0.108,"california","RENT",6400,"730-734",8,5783,0,"< 1 year"
5350,5350,0.1016,"36 months","home_improvement",0.1645,"new jersey","MORTGAGE",11250,"730-734",11,19184,3,"8 years"
10000,10000,0.1242,"36 months","credit_card",0.0977,"california","RENT",3500,"705-709",9,10912,1,"2 years"
24000,23975,0.1016,"36 months","debt_consolidation",0.1553,"ohio","MORTGAGE",5416.67,"720-724",11,17882,0,"10+ years"
24000,24000,0.079,"36 months","debt_consolidation",0.1355,"georgia","MORTGAGE",7233.33,"705-709",6,26039,0,"< 1 year"
15475,15450,0.1409,"36 months","debt_consolidation",0.2698,"south carolina","MORTGAGE",3750,"685-689",14,19670,0,"10+ years"
25000,25000,0.21,"36 months","debt_consolidation",0.0952,"new york","RENT",8333.33,"670-674",11,8575,1,"10+ years"
13000,12975,0.0991,"36 months","credit_card",0.156,"california","RENT",2333.33,"730-734",12,4487,3,"5 years"
7550,7550,0.0762,"36 months","wedding",0.1461,"arizona","MORTGAGE",2512,"730-734",7,2814,0,"5 years"
9600,9600,0.1531,"36 months","credit_card",0.3324,"arkansas","RENT",3166.67,"685-689",8,14774,3,"2 years"
15000,14950,0.1521,"60 months","debt_consolidation",0.1465,"california","RENT",5416.67,"700-704",11,9171,2,"10+ years"
7000,6975,0.1411,"36 months","debt_consolidation",0.2167,"new jersey","RENT",4166.67,"675-679",7,60550,3,"10+ years"
1000,1000,0.1531,"36 months","debt_consolidation",0.2945,"texas","MORTGAGE",2166.67,"665-669",9,1748,0,"6 years"
25000,24798.43,0.1287,"36 months","debt_consolidation",0.1881,"massachusetts","RENT",6666.67,"720-724",13,31890,1,"1 year"
24000,24000,0.1433,"36 months","credit_card",0.2549,"georgia","MORTGAGE",11208.33,"725-729",23,19428,2,"10+ years"
21000,21000,0.1849,"60 months","debt_consolidation",0.2173,"colorado","RENT",16416.67,"700-704",21,62549,1,"1 year"
1000,1000,0.1311,"36 months","debt_consolidation",0.3071,"arizona","RENT",1833.33,"670-674",7,6283,0,"3 years"
16000,16000,0.0963,"60 months","other",0.1658,"south carolina","OWN",5000,"780-784",6,2300,0,"10+ years"
24400,24400,0.1727,"60 months","small_business",0.1598,"california","RENT",6000,"725-729",7,13879,1,"3 years"
14675,14675,0.079,"36 months","debt_consolidation",0.174,"new york","MORTGAGE",3166.67,"720-724",7,22549,0,"10+ years"
12000,12000,0.1905,"36 months","credit_card",0.1961,"kansas","MORTGAGE",4583.33,"660-664",8,8970,0,"10+ years"
8000,8000,0.1311,"36 months","credit_card",0.2135,"texas","OWN",3541.67,"700-704",13,6885,2,"n/a"
12000,12000,0.1311,"36 months","credit_card",0.0805,"florida","MORTGAGE",3416.67,"685-689",6,7708,0,"4 years"
16800,10075,0.1099,"60 months","debt_consolidation",0.1342,"minnesota","MORTGAGE",5416.67,"730-734",10,7258,3,"3 years"
14500,14500,0.1433,"36 months","debt_consolidation",0.1797,"california","RENT",3500,"680-684",7,10846,0,"6 years"
25000,3925,0.1663,"36 months","debt_consolidation",0.1846,"new jersey","RENT",8000,"680-684",11,39502,0,"10+ years"
28625,28625,0.1311,"60 months","debt_consolidation",0.2131,"texas","MORTGAGE",4833.33,"740-744",9,35863,0,"5 years"
21000,21000,0.2295,"60 months","home_improvement",0.0652,"new jersey","MORTGAGE",20833.33,"670-674",5,1240,3,"10+ years"
7500,7500,0.0976,"60 months","other",0.1496,"illinois","MORTGAGE",7083.33,"780-784",11,16449,1,"10+ years"
11875,11775,0.1038,"36 months","debt_consolidation",0.2252,"oregon","MORTGAGE",6000,"730-734",11,28210,2,"10+ years"
3600,3600,0.1367,"36 months","other",0.1641,"california","MORTGAGE",5113,"690-694",10,715,1,"n/a"
16000,16000,0.1531,"36 months","debt_consolidation",0.201,"texas","RENT",5924.5,"695-699",11,9365,1,"10+ years"
20500,20500,0.2328,"60 months","debt_consolidation",0.2485,"california","RENT",4333.33,"660-664",13,4699,0,"5 years"
10000,10000,0.1825,"36 months","credit_card",0.2414,"california","RENT",6250,"665-669",9,22828,0,"1 year"
15000,15000,0.1749,"60 months","debt_consolidation",0.1122,"connecticut","RENT",3333.33,"695-699",4,6147,2,"n/a"
10000,10000,0.1199,"36 months","other",0.2189,"california","MORTGAGE",3417,"680-684",13,18069,0,"4 years"
11000,11000,0.1171,"36 months","debt_consolidation",0.078,"texas","OWN",3820.27,"685-689",7,6844,0,"2 years"
25000,25000,0.1905,"60 months","credit_card",0.2846,"virginia","RENT",5833.33,"690-694",20,33127,0,"1 year"
15000,15000,0.1016,"36 months","debt_consolidation",0.2675,"illinois","MORTGAGE",7666.67,"675-679",16,71879,1,"5 years"
5600,5600,0.1409,"36 months","debt_consolidation",0.2635,"south carolina","RENT",3833.33,"665-669",19,16163,0,"5 years"
20000,20000,0.1171,"36 months","debt_consolidation",0.152,"california","RENT",4583.33,"720-724",15,16575,2,"5 years"
25450,25450,0.1972,"60 months","credit_card",0.3375,"florida","OWN",4750,"665-669",20,14435,1,"10+ years"
7000,7000,0.1112,"36 months","debt_consolidation",0.0906,"texas","RENT",6333.33,"715-719",6,349,0,"10+ years"
10400,10400,0.1212,"36 months","credit_card",0.1892,"massachusetts","RENT",3333.33,"690-694",11,11964,0,"10+ years"
25000,24975,0.1484,"36 months","credit_card",0.1588,"new york","RENT",7250,"705-709",6,10770,2,"10+ years"
16000,15800,0.1743,"60 months","credit_card",0.1307,"florida","MORTGAGE",4583.33,"675-679",7,5729,0,"10+ years"
15000,15000,0.079,"36 months","major_purchase",0.2239,"california","MORTGAGE",7500,"725-729",10,18756,0,"10+ years"
24625,24625,0.1972,"60 months","debt_consolidation",0.2096,"new york","RENT",5166.67,"675-679",14,20694,0,"8 years"
21850,21850,0.1311,"36 months","credit_card",0.2808,"minnesota","RENT",4166.67,"690-694",12,20497,0,"< 1 year"
6000,6000,0.1531,"36 months","debt_consolidation",0.1568,"north carolina","MORTGAGE",7500,"670-674",10,5263,1,"3 years"
10000,9225.43,0.1221,"36 months","moving",0.1045,"massachusetts","RENT",7667,"700-704",9,17328,0,"2 years"
5775,5775,0.1531,"36 months","debt_consolidation",0.0408,"south carolina","RENT",5000,"670-674",8,10088,2,"10+ years"
14475,14475,0.1527,"36 months","credit_card",0.2369,"new jersey","RENT",4166.67,"680-684",12,13294,1,"3 years"
8000,8000,0.1727,"36 months","debt_consolidation",0.2788,"illinois","RENT",2833.33,"670-674",10,9926,3,"6 years"
15000,15000,0.1212,"36 months","debt_consolidation",0.1422,"florida","MORTGAGE",5416.67,"700-704",10,9237,0,"< 1 year"
10000,10000,0.1777,"36 months","debt_consolidation",0.1241,"pennsylvania","MORTGAGE",4166.67,"680-684",6,31212,0,"8 years"
5600,5600,0.1349,"36 months","debt_consolidation",0.1833,"new york","RENT",2870.33,"690-694",6,5033,2,"5 years"
10000,10000,0.1632,"60 months","home_improvement",0.148,"west virginia","RENT",2290,"685-689",5,394,2,"n/a"
13000,13000,0.1409,"36 months","debt_consolidation",0.3264,"pennsylvania","MORTGAGE",5000,"675-679",8,15208,0,"10+ years"
15000,10825,0.0999,"60 months","debt_consolidation",0.1195,"arizona","MORTGAGE",1958.33,"745-749",8,3584,1,"2 years"
2100,2100,0.1212,"36 months","credit_card",0.2577,"minnesota","RENT",2555.16,"680-684",8,21190,0,"10+ years"
12000,12000,0.1212,"36 months","debt_consolidation",0.2048,"nevada","MORTGAGE",7666.67,"685-689",10,5832,0,"2 years"
1000,1000,0.1316,"36 months","other",0.1963,"michigan","RENT",3500,"670-674",9,11189,2,"2 years"
16000,16000,0.1409,"60 months","small_business",0.0778,"pennsylvania","RENT",4166.67,"735-739",6,4240,3,"2 years"
14000,14000,0.079,"36 months","credit_card",0.2169,"illinois","RENT",3162.25,"730-734",12,13579,0,"9 years"
14000,14000,0.1016,"36 months","debt_consolidation",0.1344,"california","RENT",7916.67,"690-694",16,19621,0,"n/a"
20000,3850,0.1221,"36 months","debt_consolidation",0.1463,"new york","RENT",6000,"725-729",8,28585,0,"10+ years"
17000,15865.55,0.1114,"36 months","debt_consolidation",0.0665,"arizona","MORTGAGE",6333.33,"760-764",7,6542,1,"7 years"
7350,7350,0.1074,"60 months","debt_consolidation",0.2982,"washington","MORTGAGE",5000,"745-749",15,15093,1,"4 years"
10000,9500,0.1025,"36 months","major_purchase",0.1293,"new york","RENT",4841.67,"775-779",4,0,1,"4 years"
20000,19796.41,0.1136,"36 months","debt_consolidation",0.0834,"pennsylvania","MORTGAGE",15416.67,"710-714",10,46501,0,"10+ years"
7000,7000,0.0714,"36 months","credit_card",0.0544,"minnesota","MORTGAGE",3807.64,"760-764",7,7196,0,"5 years"
6000,6000,0.1212,"60 months","other",0.0931,"california","RENT",9583.33,"715-719",12,27756,0,"2 years"
12000,12000,0.1,"36 months","debt_consolidation",0.1232,"wisconsin","MORTGAGE",5000,"715-719",6,4515,1,"7 years"
4225,4225,0.0603,"36 months","small_business",0.1452,"new york","MORTGAGE",2583.33,"750-754",17,3907,0,"4 years"
14700,1973.77,0.1229,"36 months","debt_consolidation",0.2194,"connecticut","RENT",3100,"700-704",14,14694,2,"8 years"
2500,2500,0.0676,"36 months","debt_consolidation",0.0699,"wisconsin","MORTGAGE",4750,"755-759",15,4658,2,"4 years"
4800,4775,0.1484,"36 months","moving",0,"california","RENT",2500,"670-674",4,0,0,"2 years"
6000,6000,0.1596,"36 months","credit_card",0.221,"michigan","RENT",5583.33,"665-669",9,36748,3,"5 years"
6000,6000,0.0603,"36 months","credit_card",0.0565,"alabama","MORTGAGE",7083.33,"750-754",15,5747,0,"4 years"
1800,1800,0.1531,"36 months","other",0.0679,"oklahoma","MORTGAGE",6416.67,"670-674",6,3394,2,"7 years"
7200,7200,0.158,"36 months","debt_consolidation",0.2532,"florida","MORTGAGE",3333.33,"675-679",13,8903,1,"6 years"
6000,6000,0.1212,"36 months","home_improvement",0.2389,"texas","MORTGAGE",8000,"680-684",8,16139,0,"2 years"
15300,14850,0.1114,"36 months","debt_consolidation",0.1131,"ohio","MORTGAGE",6833.33,"670-674",11,7106,2,"10+ years"
5000,5000,0.0932,"36 months","home_improvement",0.0389,"minnesota","MORTGAGE",2083.33,"775-779",4,3901,2,"4 years"
10500,10500,0.1777,"36 months","credit_card",0.1233,"pennsylvania","MORTGAGE",4583.33,"665-669",9,18936,1,"5 years"
6625,6625,0.1777,"36 months","debt_consolidation",0.1168,"california","RENT",10268.25,"660-664",9,3563,0,"2 years"
16000,16000,0.2247,"60 months","credit_card",0.1127,"california","RENT",4791.67,"665-669",5,8474,0,"2 years"
22000,22000,0.1629,"60 months","debt_consolidation",0.2633,"wisconsin","RENT",4166.67,"675-679",10,25245,0,"5 years"
5000,5000,0.1521,"60 months","house",0.1038,"california","RENT",6833.33,"680-684",11,5045,1,"8 years"
20000,20000,0.089,"36 months","credit_card",0.1079,"illinois","RENT",12083.33,"680-684",8,25672,0,"1 year"
1500,1500,0.1306,"36 months","major_purchase",0.2082,"texas","MORTGAGE",7083.33,"670-674",8,4665,1,"6 years"
8000,8000,0.0749,"36 months","car",0.0286,"connecticut","MORTGAGE",5666.67,"730-734",7,5964,0,"10+ years"
18225,18225,0.1629,"60 months","debt_consolidation",0.3219,"alabama","MORTGAGE",7166.67,"705-709",19,29219,2,"4 years"
5000,5000,0.0762,"36 months","debt_consolidation",0.0843,"ohio","MORTGAGE",2916.67,"740-744",6,12444,1,"10+ years"
10000,10000,0.1399,"36 months","debt_consolidation",0.1073,"north carolina","RENT",2629,"685-689",5,10029,0,"n/a"
8000,8000,0.1777,"36 months","small_business",0.2856,"minnesota","RENT",2083.33,"670-674",4,9059,0,"6 years"
6000,6000,0.1075,"36 months","debt_consolidation",0.1205,"new jersey","RENT",6000,"720-724",14,25090,4,"10+ years"
24250,24225,0.1862,"60 months","debt_consolidation",0.2274,"rhode island","RENT",5000,"685-689",13,14392,1,"2 years"
8700,8700,0.1269,"36 months","home_improvement",0.0502,"new york","RENT",14166.67,"675-679",11,19036,0,"< 1 year"
20400,20375,0.1465,"60 months","debt_consolidation",0.1038,"virginia","RENT",6733.33,"725-729",8,11149,2,"6 years"
9000,9000,0.0662,"36 months","other",0.1614,"montana","RENT",3333.33,"740-744",10,8689,0,"6 years"
16100,16100,0.1114,"36 months","debt_consolidation",0.2536,"missouri","MORTGAGE",6250,"715-719",14,9737,0,"10+ years"
35000,35000,0.21,"36 months","debt_consolidation",0.1105,"louisiana","MORTGAGE",7702,"670-674",8,11346,0,"10+ years"
4600,4600,0.0766,"36 months","debt_consolidation",0.0914,"missouri","MORTGAGE",6500,"700-704",9,12942,0,"7 years"
14400,5325,0.1418,"36 months","credit_card",0.2304,"missouri","MORTGAGE",4583.33,"685-689",13,17568,4,"10+ years"
5000,5000,0.1114,"36 months","other",0.1361,"new york","RENT",3333.33,"685-689",10,8436,0,"n/a"
5500,5500,0.1905,"36 months","home_improvement",0.0233,"georgia","OWN",7500,"660-664",3,2530,1,"7 years"
25000,15800,0.1398,"60 months","debt_consolidation",0.2023,"pennsylvania","MORTGAGE",5416.67,"720-724",13,21168,2,"10+ years"
5000,5000,0.1409,"36 months","debt_consolidation",0.1118,"arizona","RENT",10625,"670-674",8,8054,0,"1 year"
10000,10000,0.1465,"36 months","debt_consolidation",0.1204,"california","RENT",2791.67,"710-714",6,12139,1,"3 years"
20000,13975,0.1189,"36 months","home_improvement",0.0289,"alabama","MORTGAGE",5050,"740-744",6,6863,4,"10+ years"
10000,10000,0.1714,"36 months","debt_consolidation",0.0959,"massachusetts","RENT",1658,"680-684",3,4902,0,"< 1 year"
17000,17000,0.0976,"36 months","debt_consolidation",0.236,"new jersey","RENT",5416.67,"740-744",16,5992,4,"10+ years"
25000,25000,0.2247,"60 months","credit_card",0.2362,"texas","MORTGAGE",5000,"665-669",16,25348,1,"3 years"
5000,5000,0.079,"36 months","debt_consolidation",0.0728,"new york","RENT",8666.67,"710-714",9,4572,0,"1 year"
6000,6000,0.1311,"36 months","credit_card",0.2134,"rhode island","MORTGAGE",5416.67,"685-689",19,15107,2,"10+ years"
8000,8000,0.1727,"36 months","credit_card",0.0732,"new york","RENT",5833.33,"670-674",8,5350,2,"4 years"
12000,12000,0.1409,"36 months","wedding",0.1533,"california","RENT",8666.67,"695-699",10,9624,1,"1 year"
3000,3000,0.0894,"36 months","other",0.1342,"new york","RENT",4500,"720-724",9,2541,2,"< 1 year"
5000,5000,0.0617,"60 months","major_purchase",0.1152,"new york","RENT",1667,"770-774",6,1108,0,"3 years"
3200,3200,0.1016,"36 months","debt_consolidation",0.1617,"california","MORTGAGE",3750,"705-709",9,4283,1,"6 years"
7625,7625,0.1849,"36 months","credit_card",0.1579,"north carolina","RENT",3166.67,"670-674",4,8030,0,"5 years"
3000,3000,0.2211,"60 months","other",0,"minnesota","OWN",1471,"690-694",3,0,0,"6 years"
5000,5000,0.1149,"36 months","home_improvement",0.0662,"north carolina","MORTGAGE",3125,"730-734",4,7187,1,"1 year"
18500,18500,0.1299,"36 months","debt_consolidation",0.0796,"new york","RENT",5000,"685-689",6,13490,0,"10+ years"
18000,18000,0.1409,"36 months","debt_consolidation",0.1545,"oregon","MORTGAGE",4000,"690-694",11,13877,0,"5 years"
4200,4200,0.1059,"36 months","car",0.1153,"georgia","RENT",3000,"695-699",11,10067,0,"7 years"
5000,4975,0.0729,"36 months","vacation",0.0233,"georgia","MORTGAGE",5416.67,"725-729",8,2937,1,"10+ years"
19000,19000,0.1171,"60 months","credit_card",0.1379,"new jersey","MORTGAGE",4791.67,"730-734",9,16348,0,"5 years"
15000,15000,0.1677,"36 months","debt_consolidation",0.0729,"maryland","RENT",7916.67,"675-679",5,5355,1,"6 years"
18625,18625,0.1972,"60 months","credit_card",0.2298,"alabama","RENT",4000,"680-684",15,26050,2,"9 years"
6075,6075,0.0762,"36 months","debt_consolidation",0.2825,"oregon","RENT",1083.33,"720-724",8,11539,0,"n/a"
12500,12500,0.1531,"36 months","debt_consolidation",0.1767,"texas","MORTGAGE",3916.67,"690-694",7,8221,3,"10+ years"
5000,5000,0.1531,"36 months","debt_consolidation",0.0491,"california","RENT",7083.33,"665-669",12,8225,1,"5 years"
10000,10000,0.1212,"36 months","credit_card",0.2306,"massachusetts","RENT",3083.33,"690-694",14,13638,0,"3 years"
8000,8000,0.1677,"36 months","credit_card",0.2099,"texas","RENT",3750,"660-664",6,4010,0,"5 years"
20000,19975,0.1581,"36 months","debt_consolidation",0.2142,"colorado","RENT",5000,"680-684",12,24352,1,"< 1 year"
9600,9600,0.1349,"36 months","credit_card",0.1504,"pennsylvania","RENT",4250,"685-689",17,7713,1,"1 year"
3600,3600,0.0976,"36 months","credit_card",0.1134,"michigan","RENT",2108.33,"695-699",14,4467,0,"n/a"
14075,14075,0.1875,"36 months","other",0.1296,"new york","RENT",3033.33,"690-694",6,13036,0,"8 years"
3000,3000,0.0751,"36 months","major_purchase",0.1131,"connecticut","RENT",3500,"735-739",9,0,2,"3 years"
35000,34975,0.1016,"36 months","debt_consolidation",0.2556,"new york","RENT",9220,"760-764",12,40782,1,"10+ years"
1700,1700,0.0699,"36 months","car",0.052,"virginia","RENT",2250,"750-754",4,4527,0,"5 years"
8800,8800,0.0751,"36 months","other",0.2073,"pennsylvania","MORTGAGE",4833,"790-794",6,306,4,"5 years"
24250,23985.41,0.1218,"36 months","debt_consolidation",0.1765,"california","MORTGAGE",8910.42,"740-744",16,81940,0,"10+ years"
10750,10166.42,0.1114,"36 months","credit_card",0.1191,"massachusetts","MORTGAGE",4416.67,"720-724",9,12619,1,"2 years"
6000,6000,0.1596,"36 months","debt_consolidation",0.2485,"california","MORTGAGE",3264,"660-664",13,6347,1,"10+ years"
15000,15000,0.1016,"36 months","credit_card",0.1857,"california","MORTGAGE",5000,"700-704",13,33389,0,"10+ years"
15000,15000,0.1433,"36 months","credit_card",0.1638,"maryland","MORTGAGE",5500,"700-704",10,12413,2,"3 years"
10000,10000,0.1311,"36 months","credit_card",0.1412,"california","RENT",7500,"680-684",12,3235,0,"6 years"
5950,5950,0.1212,"36 months","credit_card",0.2154,"florida","MORTGAGE",5000,"690-694",9,47746,0,"10+ years"
10000,10000,0.1099,"36 months","debt_consolidation",0.0823,"new york","OWN",5833.33,"700-704",15,11620,0,"< 1 year"
4000,4000,0.1523,"36 months","other",0.1073,"massachusetts","RENT",2916.67,"670-674",6,1651,1,"6 years"
15000,14675,0.0788,"36 months","home_improvement",0.0053,"virginia","MORTGAGE",10417,"780-784",8,1343,1,"< 1 year"
10000,9850,0.1531,"36 months","debt_consolidation",0.186,"new york","RENT",2500,"665-669",8,9092,1,"< 1 year"
8875,8875,0.1311,"36 months","other",0.3046,"texas","OWN",2166.67,"700-704",9,6797,1,"2 years"
2400,2400,0.1074,"36 months","credit_card",0.112,"new york","RENT",2000,"705-709",4,3055,0,"10+ years"
25000,24950,0.2053,"60 months","debt_consolidation",0.185,"new jersey","RENT",8000,"675-679",9,19548,0,"3 years"
6000,6000,0.1253,"36 months","credit_card",0.2307,"pennsylvania","RENT",2916.67,"685-689",11,3334,0,"2 years"
18000,18000,0.1905,"60 months","debt_consolidation",0.0628,"maryland","MORTGAGE",7500,"690-694",8,20675,1,"10+ years"
28000,27975,0.079,"36 months","small_business",0.0581,"washington","MORTGAGE",7000,"800-804",8,771,2,"9 years"
32000,32000,0.1629,"60 months","debt_consolidation",0.1514,"arizona","RENT",7055,"725-729",8,16174,1,"6 years"
6000,6000,0.1311,"36 months","credit_card",0.0453,"new york","RENT",2625,"690-694",5,4299,1,"10+ years"
7200,7200,0.089,"60 months","debt_consolidation",0.2516,"louisiana","MORTGAGE",3750,"750-754",13,7283,0,"6 years"
11500,11500,0.1114,"36 months","debt_consolidation",0.1047,"alabama","RENT",2916.67,"700-704",6,9562,0,"< 1 year"
4800,4800,0.0542,"36 months","major_purchase",0.1023,"florida","MORTGAGE",6333.33,"790-794",13,10704,0,"10+ years"
4000,4000,0.1065,"36 months","debt_consolidation",0.234,"north carolina","MORTGAGE",2333.33,"685-689",21,3522,0,"7 years"
15000,15000,0.1065,"36 months","other",0.1436,"california","RENT",9083.33,"720-724",11,26902,0,"3 years"
15000,15000,0.1799,"36 months","debt_consolidation",0.2104,"texas","MORTGAGE",5319.17,"675-679",13,5613,3,"2 years"
25000,25000,0.1242,"36 months","debt_consolidation",0.0105,"california","MORTGAGE",16666.67,"705-709",7,2839,0,"10+ years"
4800,4800,0.1875,"60 months","other",0.2769,"texas","RENT",1560,"680-684",9,6563,0,"< 1 year"
9500,9500,0.0662,"36 months","debt_consolidation",0.1928,"georgia","MORTGAGE",3583.33,"735-739",8,5240,0,"10+ years"
15000,6200,0.1253,"36 months","home_improvement",0.1378,"missouri","MORTGAGE",8750,"705-709",8,21702,3,"1 year"
6000,6000,0.1398,"36 months","debt_consolidation",0.0773,"colorado","RENT",6250,"675-679",6,3507,0,"4 years"
12300,12300,0.0603,"36 months","debt_consolidation",0.0715,"virginia","RENT",6666.67,"740-744",10,10976,0,"10+ years"
24000,23950,0.0751,"36 months","other",0.1795,"pennsylvania","OWN",4250,"755-759",6,19509,0,"2 years"
2000,1975,0.1112,"36 months","other",0.205,"new york","MORTGAGE",6833.33,"705-709",19,20653,5,"5 years"
14000,14000,0.0976,"36 months","debt_consolidation",0.2255,"new jersey","MORTGAGE",8750,"710-714",8,25026,0,"10+ years"
10000,10000,0.1212,"36 months","debt_consolidation",0.0595,"new jersey","OWN",5000,"700-704",5,10752,0,"4 years"
13000,8113.74,0.0963,"36 months","small_business",0.1614,"texas","MORTGAGE",3500,"785-789",6,0,1,"1 year"
5000,5000,0.1629,"60 months","other",0.118,"virginia","RENT",5416.67,"690-694",7,8745,1,"4 years"
6000,5994,0.1242,"36 months","credit_card",0.1168,"virginia","RENT",2500,"670-674",6,9482,0,"2 years"
10050,10050,0.1433,"36 months","debt_consolidation",0.0607,"california","RENT",2916.67,"710-714",9,7413,1,"6 years"
4800,4800,0.079,"36 months","debt_consolidation",0.1907,"ohio","RENT",1500,"720-724",12,6813,3,"< 1 year"
14400,14400,0.1074,"36 months","debt_consolidation",0.059,"california","MORTGAGE",6833.33,"700-704",15,10017,0,"10+ years"
11625,11625,0.1531,"36 months","debt_consolidation",0.1673,"california","RENT",2833.33,"695-699",8,17469,0,"10+ years"
18200,18200,0.1016,"36 months","credit_card",0.0795,"new york","RENT",4750,"720-724",13,16184,2,"3 years"
20000,19875,0.1335,"36 months","debt_consolidation",0.1568,"texas","MORTGAGE",9160,"710-714",9,32392,1,"10+ years"
9600,9575,0.1727,"60 months","credit_card",0.129,"new york","RENT",3333.33,"695-699",7,13648,1,"10+ years"
9000,9000,0.1183,"36 months","car",0.0048,"maryland","RENT",4833,"715-719",6,0,1,"4 years"
35000,35000,0.1825,"60 months","debt_consolidation",0.2769,"maryland","RENT",8083.33,"725-729",15,29300,0,"10+ years"
1900,1900,0.0751,"36 months","debt_consolidation",0.1927,"pennsylvania","MORTGAGE",6000,"735-739",12,18397,2,"10+ years"
20000,19896.51,0.1367,"36 months","debt_consolidation",0.1534,"florida","RENT",5166.67,"710-714",8,12394,1,"6 years"
